Dimension,Verbatims
Productos,Yo porque en realidad me dieron una tarjetas esta porque soy cliente de aÒos y no entiendo por que no me dieron una tarjetas black y solo me dieron la platinium y no tengo acceso a los vip apara viajar aÒos distintos aeropuertos igualmente no uso mucho al banco  solo cuando hay alguna bonificacion
Productos,Porque tiene promociones de financiacion de varios comercios y distintas ofertas en cuanto a las tarjetas
Canales y servicios,Porque puedo realizar todas las operaciones que necesito sin necesidad de ir a la sucursal.
Productos,Porque la otra vez necesitaba un prestamo lo saque pero con una tasa de interes muy alta. Pero me parece por ejemplo una buena motivacion para hacer gastos con tarjetas el beneficio de la tarjeta latan pass.
Canales y servicios,Por la agilidad y por lo simple de usar. Puedo realizar todo lo que necesito sin ni8ngun inconveniente por la pagina web.
Productos,Tener ms beneficios para ejemplo me refiero a descuentos o promociones con las tarjetas.
Canales y servicios,Porque tengo todo a mano y puedo realizar de forma rapida cualquier tramite que necesito.
Productos,Mejorar las promociones y descuentos con las tarjetas en general.
Productos,Porque las veces que necesite alg˙n prestamo por ejemplo fue facil y accesible para obtener.
Canales y servicios,Porque es accesible facil de usar. Realizo transferencias por ejemplo sin problemas y ademas es rapida. Pago los servicios.
Disp. automaticos,Porque la gran mayorua de los fines de semana los atm se quedan sin  dinero. Me gustarua que hubiera mas cantidad de cajeros exclusivos para clientes del banco en mas sucursales
Productos,Porque tengo las tarjetas de credito tengo la tarjeta latam pass y me gusta porque he podido millas por pasajes.
Gestion de consultas,Siempre que tuve inquietudes me las supieron responder.
Canales y servicios,Es practico y se entiende. Lo puede manejar cualquier persona que no esta tan acostumbrada a la tecnologua.
Layout sucursal,No me gusta la dimension de la sucursal y esta Vieja. Tiene mucha gente y por ser chica resulta incomoda.
Calidad de atencion ,LAS DOS PERSONAS QUE ME ATENDIERON parecuan QUE NO tenuan GANAS DE TRABAJAR parecua QUE ME ESTABAN HACIENDO UN FAVOR AL ATENDERME.
Productos,Deberua TENER UNA OFERTA mas PERSONALIZADA LA OFERTA QUE TIENE ES BASTANTE STANDARD.
Canales y servicios,Por que es rapido es claro para hacer transferencia y consultas de res˙menes
Canales y servicios,LAS GESTIONES SON rapidas DESDE EL HOMEBANKING. NUNCA TUVE PROBLEMAS CON LAS TRANSACCIONES ONLINE.
Canales y servicios,Es simple y facil de manejar es llevadero. Tiene buena visibilizacion.
Productos,Destaco la suma de puntos con las tarjetas y los beneficios que tiene.
Canales y servicios,Porque es  practico porque no tengo que ir a la sucursal
Productos,Por los el tipo de beneficios de las tarjetas de credito como cliente vip como por ejemplo a los aeropuertos
Canales y servicios,Y cuando necesito hacer una transaccion a partir de las 20 y 30  en adelante de lunes a viernes y sabados y domingos no se puede hacer transacciones eso deberuan ampliar el horarios y tambien los duas
Productos,Por que los productos son muy buenos las oferta me parece muy razonables en los de los mercados por ahu tienen  una tasa muy bajas en algunos  prestamos
Canales y servicios,Porque uso la aplicacion para el celular me parece facil de utilizar y sencilla.
Canales y servicios,Por su facilidad para ver todos los productos y es amigable
Calidad de atencion ,Por que no eh tenido problemas con ning˙n  productos hasta el momento eh viajado afuera sin problemas
Tiempos de espera,EN LA SUCURSAL SIEMPRE HAY POCA GENTE QUE ATIENDA AL p˙blico AUNQUE SEAS VIP TE DEMORaS
Canales y servicios,Me gusta porque entro directamente a mi cuenta. La pagina esta bien y esta Todo claro.
Productos,Al ser vip tengo acceso a creditos. Tengo mucho saldo en la tarjeta.
Canales y servicios,Es logica y es facil de utilizar.
Productos,Me gustan los descuentos de las tarjetas.
Canales y servicios,Porque es facil de utilizar es agil y tengo todo lo que necesito a mano.
Tiempos de espera,Porque fue rapida la atencion.
Productos,Le faltaruan algunas promociones en cuanto a tarjeta de credito por ejemplo en casas de ropa shoppings.
Canales y servicios,Es muy amigable con el usuario. Es facil de operar.
Canales y servicios,Por que me resulto muy comodo por el homabanking se puede hacer todo por las aplicaciones y tiene hay varias porciones que estan buenas
Canales y servicios,Porque nunca tuve problemas por hago transferencia y es rapida y es completo todas las cosas que pude hacer los hice
Productos,Porque creo que es completo a que abarca todo es comodo rapido.... Por ejemplo las tarjetas en la promociones en cuando en descuento en determinadas marcas
Canales y servicios,Porque me gusta el diseÒo de la pagina pesa menos que antes es agil para todo tipo de operaciones tiene todo muy al alcance. Es intuitiva.
Productos,Porque utilizo las tarjetas muy bien en todas partes. Me siento comodo con todos los productos del banco. Pero me gustarua que tuvieran mas cantidad o variedad de promociones o descuentos con las tarjetas. Me gustaruan mas promociones mas accesibles. Mas en lo cotidiano. Tambien pro ejemplo en cuan
Canales y servicios,Cuando llamas te atienden. Si ves en el resumen que algo te cobraron mal el personal tiene la paciencia de escucharte.
Productos,Porque estoy conforme con las promociones que tienen las tarjetas de credito visa y master.
TCR,Siempre me pongo a charlar sobre mi cuenta y me dice que tengo que pagar. Me dice la verdad.
Productos,QUISE HACER COMPRAS DE COSTOS ALTOS CON LAS TARJETAS Y ME decua QUE NECESITABA AUTORIZACIoN CUANDO ME AUTORIZABAN ME VOLVuAN A PEDuR AUTORIZACIoN. ESTUVE UNA HORA Y MEDIA EN CARREFOUR PASANDO LA TARJETA. HACE POCO MIMUJER QUISO COMPRAR ALGO EN INTERNET CON LA MASTARCARD Y LE PED√?A AUTORIZACI√
Calidad de atencion ,Porque tenemos la atencion de una manera personalizada la verdad hacer tramites en el banco dentro de todo no es engorroso logicamente la demanda es grande y pero se puede decir es buena la atencion
Canales y servicios,Me ubico perfecto. Es agil y didactico.
Layout sucursal,La sucursal es preciosa. Cuando fui me ofrecieron un expreso.
Canales y servicios,Le mande un mail haciendole una pregunta y no me respondio
Canales y servicios,Por que siempre es una forma facil si queres hacer alg˙n tramite lo podes hacer lo ˙nico que te piden la tarjetas de coordenadas y  la verdad yo no lo fui a buscar y tuve que hacer todo por el cajero para no hacer lio
Productos,Porque en realidad esta bueno las promociones que tiene con las tarjetas como que puedo pedir las adicionales esta lindo las millas poniendo alg˙n impuestos y te dan beneficios tenes viajes y eso esta lindo osea a largo plazo tengo beneficios con respecto a las millas en cuanto a prestamos las ver
Canales y servicios,Me gustarua no tener que estar eliminando constantemente cada vez que ingreso al sitio la oferta de un credito. Y en muchas oportunidades me rechaza algunas transferencias me dice que intente mas tarde. Tengo que estar intentando varias veces para hacer la transferencia y esto me hacer perder tiempo
Procesos,Porque fui a retirar un determinado monto la cajera me dijo que tendrua que haber avisado anticipadamente. Me habuan aclarado en otra sucursal que hasta ese monto podua retirarlo sin previo aviso. El tema es que no pude retirar ese monto me dieron menos de lo que necesitaba.  Ademas no fue bue
Gestion de consultas,Porque no pudo solucionarme un problema en cuanto un retiro en cajas de un determinado monto.
Calidad de atencion ,Mejorar la logustica de atencion en los cliente en alguna sucursal en cordoba y Scalabrini
TCR,Por que quizas ser un poco mas explicativos con algunos pedidos o tramites
Canales y servicios,Por que me parece que esta todo con una buena facilidad de acceso para que yo lo uso me es agil
Productos,Por que no tuve problemas  en las tarjetas el monto que utilizo es suficiente cuando lo use el exterior no hubo problemas
Canales y servicios,Muchas veces se me tilda la pagina y no es un problema de red.
Tiempos de espera,Agilidad en la atencion porque tengo bastante tiempo de espera para la atencion.
Productos,Que noma bajen las tasas de interes en cuanto a creditos y la financiacion con tarjetas.  Bajar los costos de los servicios en general.
TCR,Me dijeron que en tal fecha iba a tener la tarjeta y en esa fecha me la dieron.
Calidad de atencion ,Porque me atendido siempre bien cuando voy a la sucursal para usar los atm o para consultar algo siempre me atendieron con mucha amabilidad.
Canales y servicios,Porque me resulta muy comodo al evitar tener que ir a la sucursal. Puedo realizar todo lo que necesito a traves de la pagina. Me complica usar tantas claves.
Productos,Porque todo lo que el banco me ha ofrecido me viene bien.  Destaco poder pagar en cuotas cuando lo necesito con la tarjeta de credito. No utilizo mas que la tarjeta de debito y el credito a veces.
Canales y servicios,Porque todo me resulta mas facil. Mas facil operar por la web por la aplicacion del celular. Me resulta muy comodo y fluido operar tanto por homebanking como por la aplicacion para el celular. Los instructivos iniciales fueron muy claros para empezar a operar con el banco. Ademas por ejemplo nec
Canales y servicios,Porque todo lo que necesito hacer lo encuentro facilmente en la web pago de servicios transferencias y consultas.
Productos,Porque por ejemplo destaco tener el 2 por uno en cines con las tarjetas.  Tengo un buen lumite de compra con las tarjetas adecuado a mis ingresos.
Canales y servicios,Porque es muy amigable
Canales y servicios,DIERON UNOS ACCESOS RaPIDOS QUE SON MUY ⁄TILES.
Calidad de atencion ,Su atencion es muy personalizada. Siempre que lo necesitamos esta atento
Canales y servicios,Destaco que no me llamen muy seguida para ofrecerme productos destaco que no me atosigan con llamados.
Canales y servicios,Porque es muy pragmatico y es muy simple digamos es completo
Canales y servicios,Porque es  muy difucil comunicarme me pasan por todos lados o me dejan esperando o se termina cortando la llamada. Si dejo un mensaje de voz nadie lo responde.
